varname,count,sum,mean,stddev
Counter,200,99.3779,0.496889,0.0594226
Failed,0,0,nan,0
CounterB_main,50,23.7031,0.474062,0.0515381
CounterB_LOne,50,23.3977,0.467954,0.0803305
CounterB_LTwo,50,24.0085,0.480171,0.0692291
CounterC_main,50,24.0329,0.480659,0.0553526
CounterC_LOne,50,23.1166,0.462332,0.0776667
CounterC_LTwo,50,24.9492,0.498985,0.0906923
CounterJ_main,50,23.4005,0.46801,0.0609517
CounterJ_LOne,50,23.5016,0.470032,0.0887464
CounterJ_LTwo,50,23.2994,0.465988,0.0803117
CounterK_main,50,23.9,0.477999,0.0516247
CounterK_LOne,50,23.5603,0.471206,0.0773477
CounterK_LTwo,50,24.2396,0.484793,0.0804154
Counter,200,102.047,0.510233,0.0586508
Failed,0,0,nan,0
CounterB_main,50,25.6282,0.512565,0.0474098
CounterB_LOne,50,24.629,0.492581,0.0702919
CounterB_LTwo,50,26.6274,0.532548,0.0637445
CounterC_main,50,25.4013,0.508026,0.0536624
CounterC_LOne,50,23.8932,0.477864,0.0794005
CounterC_LTwo,50,26.9094,0.538188,0.0838812
CounterJ_main,50,25.5388,0.510776,0.0554893
CounterJ_LOne,50,24.6369,0.492739,0.0865328
CounterJ_LTwo,50,26.4406,0.528812,0.0731483
CounterK_main,50,25.2474,0.504949,0.0493748
CounterK_LOne,50,24.7694,0.495388,0.0693364
CounterK_LTwo,50,25.7255,0.514509,0.0952553
Counter,198,102.82,0.519291,0.060349
Failed,2,1.08708,0.543542,0.0845865
CounterB_main,50,26.3881,0.527762,0.0520799
CounterB_LOne,50,25.4715,0.509431,0.0697148
CounterB_LTwo,50,27.3047,0.546093,0.0662835
CounterC_main,50,26.163,0.52326,0.0499289
CounterC_LOne,50,24.8031,0.496062,0.0751305
CounterC_LTwo,50,27.5229,0.550457,0.0832319
CounterJ_main,50,26.816,0.53632,0.0531448
CounterJ_LOne,50,25.7071,0.514141,0.0828002
CounterJ_LTwo,50,27.925,0.5585,0.0666248
CounterK_main,50,25.9892,0.519785,0.0459086
CounterK_LOne,50,25.5505,0.511009,0.0661073
CounterK_LTwo,50,26.428,0.52856,0.0899329
Counter,198,103.443,0.52244,0.0632663
Failed,2,1.08708,0.543542,0.0845865
CounterB_main,49,26.8153,0.547252,0.0458313
CounterB_LOne,49,26.3447,0.537647,0.0626873
CounterB_LTwo,49,27.286,0.556857,0.0684867
CounterC_main,50,26.4912,0.529824,0.0432758
CounterC_LOne,50,25.3519,0.507038,0.0689741
