varname,count,sum,mean,stddev
Counter,399,184.906,0.463424,0.0688919
Failed,1,0.34082,0.34082,nan
CounterB_main,100,43.8113,0.438113,0.0692718
CounterB_LOne,100,40.7702,0.407702,0.112462
CounterB_LTwo,100,46.8523,0.468523,0.0758255
CounterC_main,100,43.3326,0.433326,0.0652024
CounterC_LOne,100,39.3914,0.393914,0.110127
CounterC_LTwo,100,47.2738,0.472738,0.0815201
CounterJ_main,100,44.992,0.44992,0.0680394
CounterJ_LOne,100,42.1033,0.421033,0.112038
CounterJ_LTwo,100,47.8807,0.478807,0.0855546
CounterK_main,100,44.5827,0.445827,0.0679238
CounterK_LOne,100,41.8993,0.418993,0.0998527
CounterK_LTwo,100,47.2662,0.472662,0.080564
Counter,395,187.972,0.475879,0.0767418
Failed,5,2.19168,0.438337,0.112854
CounterB_main,100,47.9719,0.479719,0.058676
CounterB_LOne,100,44.3775,0.443775,0.104772
CounterB_LTwo,100,51.5664,0.515664,0.0663041
CounterC_main,100,47.1736,0.471736,0.0595732
CounterC_LOne,100,44.5583,0.445583,0.111885
CounterC_LTwo,100,49.789,0.49789,0.0769559
CounterJ_main,99,49.0063,0.495014,0.0619022
CounterJ_LOne,99,47.8412,0.483245,0.095752
CounterJ_LTwo,99,50.1714,0.506782,0.0766861
CounterK_main,100,47.8635,0.478635,0.0577216
CounterK_LOne,100,46.6357,0.466357,0.094379
CounterK_LTwo,100,49.0912,0.490912,0.0826427
Counter,391,191.263,0.489164,0.0733497
Failed,9,4.11443,0.457159,0.100849
CounterB_main,99,49.944,0.504485,0.0603027
CounterB_LOne,99,47.0435,0.475187,0.0974217
CounterB_LTwo,99,52.8445,0.533783,0.0654253
CounterC_main,99,48.6618,0.491534,0.0541515
CounterC_LOne,99,46.8887,0.473623,0.101544
CounterC_LTwo,99,50.435,0.509444,0.0727158
CounterJ_main,98,51.093,0.521357,0.0547947
CounterJ_LOne,98,50.2352,0.512604,0.0942328
CounterJ_LTwo,98,51.9508,0.53011,0.0787234
CounterK_main,99,49.3215,0.498197,0.0566027
CounterK_LOne,99,47.8024,0.482852,0.0948728
CounterK_LTwo,99,50.8406,0.513541,0.0870805
Counter,389,189.173,0.486305,0.0798805
Failed,11,4.87101,0.442819,0.0985791
CounterB_main,98,51.3386,0.523863,0.0551642
CounterB_LOne,98,49.0715,0.500729,0.0878458
CounterB_LTwo,98,53.6057,0.546997,0.0674453
CounterC_main,97,48.868,0.503794,0.051552
CounterC_LOne,97,46.8935,0.483438,0.0973995
CounterC_LTwo,97,50.8425,0.52415,0.0775068
CounterJ_main,97,51.9262,0.535322,0.0511945
CounterJ_LOne,97,51.1739,0.527566,0.0926979
CounterJ_LTwo,97,52.6785,0.543078,0.0725233
CounterK_main,99,50.5737,0.510845,0.0530708
CounterK_LOne,99,49.4662,0.499659,0.0900522
CounterK_LTwo,99,51.6811,0.522031,0.0848029
Counter,382,189.378,0.495755,0.0798028
Failed,18,8.10597,0.450332,0.0857404
CounterB_main,98,52.2007,0.532661,0.0562532
CounterB_LOne,98,50.0368,0.51058,0.0903132
CounterB_LTwo,98,54.3647,0.554742,0.0683477
CounterC_main,96,49.346,0.514021,0.048913
CounterC_LOne,96,47.1594,0.491243,0.0973885
CounterC_LTwo,96,51.5327,0.536798,0.0717399
CounterJ_main,97,52.9358,0.545729,0.0493362
CounterJ_LOne,97,52.6349,0.542628,0.0889059
CounterJ_LTwo,97,53.2366,0.548831,0.0743433
CounterK_main,98,50.4502,0.514798,0.053367
CounterK_LOne,98,50.0938,0.511162,0.0871019
CounterK_LTwo,98,50.8065,0.518434,0.0848469
Counter,378,191.402,0.506355,0.0776311
Failed,22,10.2186,0.464483,0.086857
CounterB_main,97,52.6091,0.542362,0.0496173
CounterB_LOne,97,50.7489,0.523184,0.081807
CounterB_LTwo,97,54.4694,0.56154,0.0618686
CounterC_main,92,47.8967,0.520617,0.0484782
CounterC_LOne,92,45.8918,0.498824,0.0966504
CounterC_LTwo,92,49.9017,0.542409,0.0773323
CounterJ_main,97,53.5044,0.551592,0.0500091
CounterJ_LOne,97,53.2662,0.549136,0.0895436
CounterJ_LTwo,97,53.7426,0.554048,0.0739305
CounterK_main,96,50.6289,0.527384,0.0491789
CounterK_LOne,96,50.2912,0.523866,0.0839497
CounterK_LTwo,96,50.9666,0.530902,0.0825411
Counter,374,189.361,0.506312,0.0822755
Failed,26,12.2126,0.469715,0.0850625
CounterB_main,96,52.47,0.546563,0.0537818
CounterB_LOne,96,50.9336,0.530558,0.0899688
CounterB_LTwo,96,54.0064,0.562567,0.0636182
CounterC_main,91,48.3956,0.531819,0.047273
CounterC_LOne,91,46.6976,0.513161,0.0933082
CounterC_LTwo,91,50.0935,0.550478,0.0767029
CounterJ_main,95,53.0435,0.558353,0.0463443
CounterJ_LOne,95,52.3148,0.550682,0.0880785
CounterJ_LTwo,95,53.7722,0.566023,0.0713423
CounterK_main,96,51.4454,0.535889,0.0504437
CounterK_LOne,96,51.0644,0.531921,0.0835579
CounterK_LTwo,96,51.8263,0.539858,0.0860701
Counter,372,190.343,0.511676,0.0807016
Failed,28,13.2577,0.473488,0.0830199
CounterB_main,96,53.14,0.553541,0.0577194
CounterB_LOne,96,51.6498,0.538018,0.0964393
CounterB_LTwo,96,54.6302,0.569064,0.0588175
CounterC_main,91,49.4435,0.543335,0.0465567
CounterC_LOne,91,47.9712,0.527156,0.0871524
CounterC_LTwo,91,50.9157,0.559513,0.0762769
CounterJ_main,93,52.5375,0.564919,0.044794
CounterJ_LOne,93,51.9729,0.558849,0.0936047
CounterJ_LTwo,93,53.102,0.570989,0.0745122
CounterK_main,94,50.7623,0.540024,0.0495941
CounterK_LOne,94,50.3226,0.535347,0.0821525
CounterK_LTwo,94,51.202,0.544702,0.0846673
Counter,368,190.195,0.516833,0.0794335
Failed,32,15.356,0.479875,0.0824738
CounterB_main,95,53.3278,0.561346,0.0504273
CounterB_LOne,95,52.0799,0.54821,0.0816077
CounterB_LTwo,95,54.5757,0.574481,0.0616577
CounterC_main,91,49.8453,0.547751,0.044182
CounterC_LOne,91,47.9795,0.527247,0.0895253
CounterC_LTwo,91,51.7112,0.568255,0.0763981
CounterJ_main,92,52.3854,0.569407,0.0442603
CounterJ_LOne,92,51.6171,0.561055,0.0906249
CounterJ_LTwo,92,53.1538,0.577759,0.0732644
CounterK_main,94,51.5499,0.548403,0.0503136
CounterK_LOne,94,51.4336,0.547166,0.0892325
CounterK_LTwo,94,51.6661,0.54964,0.0842192
Counter,363,188.221,0.518516,0.0803175
Failed,37,17.576,0.475028,0.0782767
CounterB_main,93,52.3254,0.562639,0.0492259
CounterB_LOne,93,50.7133,0.545304,0.0833029
CounterB_LTwo,93,53.9375,0.579973,0.0604542
CounterC_main,91,50.081,0.550341,0.0431179
CounterC_LOne,91,48.5824,0.533873,0.0902954
CounterC_LTwo,91,51.5795,0.566808,0.0788275
CounterJ_main,91,52.0875,0.57239,0.0430462
CounterJ_LOne,91,51.3552,0.564342,0.0874874
CounterJ_LTwo,91,52.8199,0.580438,0.071643
CounterK_main,93,51.7775,0.556747,0.0500407
CounterK_LOne,93,51.636,0.555226,0.0891726
CounterK_LTwo,93,51.919,0.558269,0.0809422
Counter,358,187.909,0.524885,0.079766
Failed,42,20.0098,0.476424,0.076101
CounterB_main,92,52.0482,0.565741,0.0496483
CounterB_LOne,92,50.5322,0.549264,0.0799381
CounterB_LTwo,92,53.5641,0.582218,0.0593248
CounterC_main,88,48.914,0.555841,0.0428413
CounterC_LOne,88,47.6385,0.541346,0.0929547
CounterC_LTwo,88,50.1896,0.570337,0.0790024
CounterJ_main,91,52.4332,0.576189,0.0449931
CounterJ_LOne,91,51.7698,0.568899,0.0848743
CounterJ_LTwo,91,53.0965,0.583478,0.0731709
CounterK_main,92,51.4357,0.559084,0.050051
CounterK_LOne,92,51.5389,0.560205,0.0903026
CounterK_LTwo,92,51.3325,0.557962,0.0798432
Counter,354,184.598,0.521463,0.0848594
Failed,46,21.7708,0.473277,0.0748003
CounterB_main,91,51.7173,0.568322,0.0505131
CounterB_LOne,91,50.1462,0.551057,0.0866597
CounterB_LTwo,91,53.2884,0.585587,0.0568226
CounterC_main,86,48.2103,0.560585,0.0427629
CounterC_LOne,86,47.5005,0.552331,0.0940534
CounterC_LTwo,86,48.9201,0.568839,0.0743275
CounterJ_main,91,52.6865,0.578973,0.0487026
CounterJ_LOne,91,52.0556,0.57204,0.0881542
CounterJ_LTwo,91,53.3174,0.585906,0.0700448
